timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1587669172645,44174,GET RSS,200,OK,GET RSS 1-90,text,true,,169096,178,75,75,https://rss-app.azurewebsites.net/rss,43682,0,2461
1587669175050,42520,GET RSS,200,OK,GET RSS 1-94,text,true,,169096,178,75,75,https://rss-app.azurewebsites.net/rss,42187,0,314
1587669175644,45061,GET RSS,200,OK,GET RSS 1-95,text,true,,169096,178,80,80,https://rss-app.azurewebsites.net/rss,44323,0,429
1587669176250,45101,GET RSS,200,OK,GET RSS 1-96,text,true,,169096,178,80,80,https://rss-app.azurewebsites.net/rss,43868,0,355
1587669177445,44679,GET RSS,200,OK,GET RSS 1-98,text,true,,169096,178,80,80,https://rss-app.azurewebsites.net/rss,44433,0,586
1587669176846,45669,GET RSS,200,OK,GET RSS 1-97,text,true,,169096,178,80,80,https://rss-app.azurewebsites.net/rss,45440,0,997
1587669182844,40609,GET RSS,200,OK,GET RSS 1-107,text,true,,257,178,80,80,https://rss-app.azurewebsites.net/rss,40609,0,2586
1587669180444,43628,GET RSS,200,OK,GET RSS 1-103,text,true,,169096,178,80,80,https://rss-app.azurewebsites.net/rss,43421,0,468
1587669178647,45444,GET RSS,200,OK,GET RSS 1-100,text,true,,169096,178,79,79,https://rss-app.azurewebsites.net/rss,45265,0,339
1587669179248,44855,GET RSS,200,OK,GET RSS 1-101,text,true,,169096,178,78,78,https://rss-app.azurewebsites.net/rss,44668,0,648
1587669178048,46159,GET RSS,200,OK,GET RSS 1-99,text,true,,169096,178,77,77,https://rss-app.azurewebsites.net/rss,45953,0,352
1587669179849,46182,GET RSS,200,OK,GET RSS 1-102,text,true,,169096,178,79,79,https://rss-app.azurewebsites.net/rss,45868,0,358
1587669181045,45719,GET RSS,200,OK,GET RSS 1-104,text,true,,169096,178,80,80,https://rss-app.azurewebsites.net/rss,44857,0,1203
1587669183445,45022,GET RSS,200,OK,GET RSS 1-108,text,true,,169096,178,82,82,https://rss-app.azurewebsites.net/rss,44842,0,1278
1587669184645,45958,GET RSS,200,OK,GET RSS 1-110,text,true,,169096,178,84,84,https://rss-app.azurewebsites.net/rss,45715,0,243
1587669184046,46615,GET RSS,200,OK,GET RSS 1-109,text,true,,169096,178,83,83,https://rss-app.azurewebsites.net/rss,46412,0,764
1587669186445,46250,GET RSS,200,OK,GET RSS 1-113,text,true,,169096,178,86,86,https://rss-app.azurewebsites.net/rss,45978,0,282
1587669185843,48101,GET RSS,200,OK,GET RSS 1-112,text,true,,169096,178,87,87,https://rss-app.azurewebsites.net/rss,46916,0,322
